City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hearst,49.6835,-83.6665,3.45,96,100,7.36,CA,1644201140
1,Atuona,-9.8,-139.0333,78.8,77,12,17.09,PF,1644201272
2,Albany,42.6001,-73.9662,21.31,76,10,4.18,US,1644201074
3,Carnarvon,-24.8667,113.6333,78.87,36,6,21.85,AU,1644201272
4,Hermanus,-34.4187,19.2345,65.8,92,66,4.25,ZA,1644201273
5,Quatre Cocos,-20.2078,57.7625,77.11,82,100,10.0,MU,1644201273
6,Hong Kong,22.2855,114.1577,65.97,89,100,1.01,HK,1644200997
7,Dali,25.7,100.1833,47.34,48,1,2.04,CN,1644201273
8,Kahului,20.8947,-156.47,80.62,59,0,23.02,US,1644201183
9,Tasiilaq,65.6145,-37.6368,23.16,53,100,60.31,GL,1644201274
10,Doha,25.2867,51.5333,60.69,61,0,10.36,QA,1644201185
11,Bluff,-46.6,168.3333,60.8,66,0,13.38,NZ,1644201251
12,Cape Town,-33.9258,18.4232,64.27,89,75,3.44,ZA,1644201005
13,Vaini,-21.2,-175.2,77.16,100,100,11.5,TO,1644201275
14,Ponta do Sol,32.6667,-17.1,63.23,68,7,10.65,PT,1644201275
15,Talcahuano,-36.7167,-73.1167,65.88,68,0,10.36,CL,1644201275
16,Ushuaia,-54.8,-68.3,60.46,67,75,12.66,AR,1644201232
17,Westport,41.1415,-73.3579,30.85,81,100,5.01,US,1644201276
18,Vredendal,-31.6683,18.5012,66.61,58,0,1.1,ZA,1644201276
19,Kapaa,22.0752,-159.319,80.58,71,40,1.99,US,1644201276
20,Mastic Beach,40.7668,-72.8521,33.03,80,100,7.0,US,1644201277
21,Barra Patuca,15.8,-84.2833,74.91,69,10,7.23,HN,1644201277
22,Kavieng,-2.5744,150.7967,83.66,71,55,2.68,PG,1644201278
23,Nanortalik,60.1432,-45.2371,17.42,62,100,46.19,GL,1644201278
24,Hambantota,6.1241,81.1185,77.34,88,75,4.61,LK,1644201278
25,Broken Hill,-31.95,141.4333,82.11,28,40,12.66,AU,1644201137
26,Butaritari,3.0707,172.7902,81.84,76,71,15.43,KI,1644201227
27,Dongsheng,39.8161,109.9776,19.38,28,98,3.56,CN,1644201279
28,Ribeira Grande,38.5167,-28.7,61.07,83,9,16.02,PT,1644201279
29,Busselton,-33.65,115.3333,67.08,51,70,20.04,AU,1644201280
30,Los Llanos de Aridane,28.6585,-17.9182,62.35,73,75,18.99,ES,1644201280
31,Provincia di Cremona,45.2333,9.9333,44.91,100,20,7.72,IT,1644201280
32,Gien,47.6933,2.6309,45.5,81,82,14.72,FR,1644201281
33,Tabou,4.423,-7.3528,78.89,83,100,5.53,CI,1644201281
34,Saint-Philippe,-21.3585,55.7679,76.59,85,94,14.65,RE,1644201281
35,Port Alfred,-33.5906,26.891,72.93,79,82,4.97,ZA,1644201281
36,Kiryat Gat,31.61,34.7642,54.91,100,6,6.8,IL,1644201282
37,Jamestown,42.097,-79.2353,29.79,45,0,10.36,US,1644201180
38,Hithadhoo,-0.6,73.0833,82.42,69,31,14.14,MV,1644201282
39,Qaanaaq,77.484,-69.3632,-11.67,59,29,7.25,GL,1644201283
40,Port Lincoln,-34.7333,135.8667,79.56,48,0,18.32,AU,1644201283
41,Provideniya,64.3833,-173.3,3.31,66,0,8.95,RU,1644201283
42,Bengkulu,-3.8004,102.2655,81.64,70,99,10.8,ID,1644201284
43,Mataura,-46.1927,168.8643,60.48,34,8,2.75,NZ,1644201284
44,Dibulla,11.2725,-73.3091,74.44,87,11,4.85,CO,1644201285
45,Chui,-33.6971,-53.4616,63.79,74,41,15.66,UY,1644201226
46,Puerto Ayora,-0.7393,-90.3518,73.54,93,20,1.99,EC,1644201285
47,Dunedin,-45.8742,170.5036,62.8,67,85,5.01,NZ,1644201286
48,Barrow,71.2906,-156.7887,-27.38,68,0,12.66,US,1644201286
49,Buinsk,54.95,48.2833,19.29,100,97,3.09,RU,1644201286
50,Saint George,37.1041,-113.5841,54.19,24,0,24.16,US,1644201025
51,Mar del Plata,-38.0023,-57.5575,65.08,82,40,5.01,AR,1644201036
52,Rikitea,-23.1203,-134.9692,79.02,72,16,18.75,PF,1644201219
53,Vao,-22.6667,167.4833,80.89,82,42,11.63,NC,1644201287
54,Arraial do Cabo,-22.9661,-42.0278,75.36,92,0,18.75,BR,1644201288
55,Punta Arenas,-53.15,-70.9167,53.71,82,75,6.91,CL,1644201265
56,Cherskiy,68.75,161.3,-27.85,100,25,1.28,RU,1644201288
57,Rostovka,55.3842,71.8891,-5.91,96,40,6.6,RU,1644201288
58,Faanui,-16.4833,-151.75,81.01,75,100,20.13,PF,1644201289
59,Bredasdorp,-34.5322,20.0403,65.28,88,13,5.75,ZA,1644201289
60,São Filipe,14.8961,-24.4956,72.48,75,1,5.97,CV,1644201289
61,Constitución,-35.3333,-72.4167,57.79,80,0,4.09,CL,1644201085
62,Paranapanema,-23.3886,-48.7228,69.37,97,100,5.57,BR,1644201290
63,Chiquilistlán,20.2,-103.8167,70.09,42,60,4.61,MX,1644201290
64,Caravelas,-17.7125,-39.2481,76.24,87,60,5.7,BR,1644201291
65,Ryōtsu-minato,38.0833,138.4333,35.56,61,100,14.23,JP,1644201291
66,Olafsvik,64.8945,-23.7142,29.12,92,100,37.27,IS,1644201291
